S No.;Movie Title;Released Year;IMDb Ratings;Users rated
1;The Shawshank Redemption;(1994);9.2;9.2 based on 2,405,848 user ratings
2;The Godfather;(1972);9.1;9.1 based on 1,665,156 user ratings
3;The Godfather: Part II;(1974);9.0;9.0 based on 1,157,059 user ratings
4;The Dark Knight;(2008);9.0;9.0 based on 2,365,469 user ratings
5;12 Angry Men;(1957);8.9;8.9 based on 709,124 user ratings
6;Schindler's List;(1993);8.9;8.9 based on 1,240,431 user ratings
7;The Lord of the Rings: The Return of the King;(2003);8.9;8.9 based on 1,677,749 user ratings
8;Pulp Fiction;(1994);8.8;8.8 based on 1,869,077 user ratings
9;Il buono, il brutto, il cattivo;(1966);8.8;8.8 based on 702,566 user ratings
10;The Lord of the Rings: The Fellowship of the Ring;(2001);8.8;8.8 based on 1,698,616 user ratings
11;Fight Club;(1999);8.8;8.8 based on 1,899,238 user ratings
12;Forrest Gump;(1994);8.7;8.7 based on 1,859,081 user ratings
13;Inception;(2010);8.7;8.7 based on 2,122,949 user ratings
14;The Lord of the Rings: The Two Towers;(2002);8.7;8.7 based on 1,516,986 user ratings
15;Star Wars: Episode V - The Empire Strikes Back;(1980);8.7;8.7 based on 1,182,340 user ratings
16;The Matrix;(1999);8.6;8.6 based on 1,716,634 user ratings
17;Goodfellas;(1990);8.6;8.6 based on 1,046,577 user ratings
18;One Flew Over the Cuckoo's Nest;(1975);8.6;8.6 based on 936,072 user ratings
19;Shichinin no samurai;(1954);8.6;8.6 based on 322,322 user ratings
20;Se7en;(1995);8.6;8.6 based on 1,482,727 user ratings
21;The Silence of the Lambs;(1991);8.6;8.6 based on 1,303,230 user ratings
22;Cidade de Deus;(2002);8.6;8.6 based on 711,106 user ratings
23;It's a Wonderful Life;(1946);8.6;8.6 based on 413,637 user ratings
24;La vita è bella;(1997);8.6;8.6 based on 638,804 user ratings
25;Star Wars;(1977);8.6;8.6 based on 1,254,371 user ratings
26;Saving Private Ryan;(1998);8.5;8.5 based on 1,267,103 user ratings
27;Sen to Chihiro no kamikakushi;(2001);8.5;8.5 based on 674,173 user ratings
28;Interstellar;(2014);8.5;8.5 based on 1,567,820 user ratings
29;The Green Mile;(1999);8.5;8.5 based on 1,177,861 user ratings
30;Gisaengchung;(2019);8.5;8.5 based on 617,908 user ratings
31;Léon;(1994);8.5;8.5 based on 1,059,869 user ratings
32;Seppuku;(1962);8.5;8.5 based on 45,578 user ratings
33;The Usual Suspects;(1995);8.5;8.5 based on 1,010,433 user ratings
34;The Pianist;(2002);8.5;8.5 based on 751,956 user ratings
35;Back to the Future;(1985);8.5;8.5 based on 1,086,391 user ratings
36;Terminator 2: Judgment Day;(1991);8.5;8.5 based on 1,013,974 user ratings
37;Modern Times;(1936);8.5;8.5 based on 223,474 user ratings
38;Psycho;(1960);8.5;8.5 based on 617,587 user ratings
39;The Lion King;(1994);8.5;8.5 based on 964,616 user ratings
40;American History X;(1998);8.5;8.5 based on 1,051,852 user ratings
41;City Lights;(1931);8.5;8.5 based on 171,708 user ratings
42;Gladiator;(2000);8.5;8.5 based on 1,371,699 user ratings
43;Whiplash;(2014);8.5;8.5 based on 742,832 user ratings
44;The Departed;(2006);8.5;8.5 based on 1,217,145 user ratings
45;Hotaru no haka;(1988);8.5;8.5 based on 244,385 user ratings
46;The Intouchables;(2011);8.5;8.5 based on 781,173 user ratings
47;The Prestige;(2006);8.5;8.5 based on 1,220,146 user ratings
48;Casablanca;(1942);8.4;8.4 based on 531,791 user ratings
49;Once Upon a Time in the West;(1968);8.4;8.4 based on 308,572 user ratings
50;Rear Window;(1954);8.4;8.4 based on 453,607 user ratings
51;Nuovo Cinema Paradiso;(1988);8.4;8.4 based on 237,665 user ratings
52;Alien;(1979);8.4;8.4 based on 805,818 user ratings
53;Apocalypse Now;(1979);8.4;8.4 based on 618,948 user ratings
54;Memento;(2000);8.4;8.4 based on 1,148,357 user ratings
55;Raiders of the Lost Ark;(1981);8.4;8.4 based on 900,157 user ratings
56;The Great Dictator;(1940);8.4;8.4 based on 207,521 user ratings
57;The Lives of Others;(2006);8.4;8.4 based on 366,401 user ratings
58;Django Unchained;(2012);8.4;8.4 based on 1,394,614 user ratings
59;Paths of Glory;(1957);8.4;8.4 based on 182,660 user ratings
60;Sunset Blvd.;(1950);8.4;8.4 based on 206,008 user ratings
61;WALL·E;(2008);8.4;8.4 based on 1,022,671 user ratings
62;The Shining;(1980);8.4;8.4 based on 921,071 user ratings
63;Witness for the Prosecution;(1957);8.4;8.4 based on 112,425 user ratings
64;Avengers: Infinity War;(2018);8.4;8.4 based on 885,053 user ratings
65;Joker;(2019);8.4;8.4 based on 1,009,907 user ratings
66;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;(1964);8.4;8.4 based on 458,647 user ratings
67;Spider-Man: Into the Spider-Verse;(2018);8.4;8.4 based on 404,402 user ratings
68;Oldeuboi;(2003);8.3;8.3 based on 529,064 user ratings
69;Mononoke-hime;(1997);8.3;8.3 based on 354,146 user ratings
70;Hamilton;(2020);8.3;8.3 based on 65,963 user ratings
71;Once Upon a Time in America;(1984);8.3;8.3 based on 319,394 user ratings
72;Kimi no na wa.;(2016);8.3;8.3 based on 211,464 user ratings
73;The Dark Knight Rises;(2012);8.3;8.3 based on 1,550,159 user ratings
74;Aliens;(1986);8.3;8.3 based on 664,840 user ratings
75;Coco;(2017);8.3;8.3 based on 409,792 user ratings
76;Pather Panchali;(1955);8.3;8.3 based on 25,712 user ratings
77;Das Boot;(1981);8.3;8.3 based on 236,134 user ratings
78;Capharnaüm;(2018);8.3;8.3 based on 69,997 user ratings
79;Avengers: Endgame;(2019);8.3;8.3 based on 886,194 user ratings
80;Tengoku to jigoku;(1963);8.3;8.3 based on 36,960 user ratings
81;American Beauty;(1999);8.3;8.3 based on 1,087,438 user ratings
82;Toy Story;(1995);8.3;8.3 based on 907,775 user ratings
83;Braveheart;(1995);8.3;8.3 based on 975,126 user ratings
84;Amadeus;(1984);8.3;8.3 based on 375,882 user ratings
85;3 Idiots;(2009);8.3;8.3 based on 357,618 user ratings
86;Inglourious Basterds;(2009);8.3;8.3 based on 1,303,142 user ratings
87;Good Will Hunting;(1997);8.3;8.3 based on 882,870 user ratings
88;Star Wars: Episode VI - Return of the Jedi;(1983);8.3;8.3 based on 968,849 user ratings
89;2001: A Space Odyssey;(1968);8.3;8.3 based on 616,319 user ratings
90;Reservoir Dogs;(1992);8.3;8.3 based on 938,547 user ratings
91;M - Eine Stadt sucht einen Mörder;(1931);8.3;8.3 based on 146,800 user ratings
92;Taare Zameen Par;(2007);8.3;8.3 based on 175,684 user ratings
93;Citizen Kane;(1941);8.3;8.3 based on 413,566 user ratings
94;Vertigo;(1958);8.3;8.3 based on 372,470 user ratings
95;Requiem for a Dream;(2000);8.3;8.3 based on 782,209 user ratings
96;Jagten;(2012);8.3;8.3 based on 294,179 user ratings
97;Idi i smotri;(1985);8.3;8.3 based on 63,536 user ratings
98;Singin' in the Rain;(1952);8.3;8.3 based on 223,733 user ratings
99;North by Northwest;(1959);8.3;8.3 based on 304,754 user ratings
100;Eternal Sunshine of the Spotless Mind;(2004);8.3;8.3 based on 930,587 user ratings
101;Ladri di biciclette;(1948);8.3;8.3 based on 150,487 user ratings
102;Ikiru;(1952);8.3;8.3 based on 70,904 user ratings
103;Lawrence of Arabia;(1962);8.2;8.2 based on 273,415 user ratings
104;The Kid;(1921);8.2;8.2 based on 116,768 user ratings
105;The Father;(2020);8.2;8.2 based on 68,901 user ratings
106;Full Metal Jacket;(1987);8.2;8.2 based on 688,235 user ratings
107;Dangal;(2016);8.2;8.2 based on 164,911 user ratings
108;A Clockwork Orange;(1971);8.2;8.2 based on 771,748 user ratings
109;Taxi Driver;(1976);8.2;8.2 based on 743,927 user ratings
110;Metropolis;(1927);8.2;8.2 based on 163,162 user ratings
111;The Sting;(1973);8.2;8.2 based on 246,165 user ratings
112;Double Indemnity;(1944);8.2;8.2 based on 146,616 user ratings
113;1917;(2019);8.2;8.2 based on 465,950 user ratings
114;The Apartment;(1960);8.2;8.2 based on 168,058 user ratings
115;Le fabuleux destin d'Amélie Poulain;(2001);8.2;8.2 based on 715,142 user ratings
116;Jodaeiye Nader az Simin;(2011);8.2;8.2 based on 225,953 user ratings
117;Incendies;(2010);8.2;8.2 based on 156,356 user ratings
118;Snatch;(2000);8.2;8.2 based on 796,948 user ratings
119;Scarface;(1983);8.2;8.2 based on 761,640 user ratings
120;Toy Story 3;(2010);8.2;8.2 based on 772,114 user ratings
121;To Kill a Mockingbird;(1962);8.2;8.2 based on 298,361 user ratings
122;Per qualche dollaro in più;(1965);8.2;8.2 based on 237,639 user ratings
123;Up;(2009);8.2;8.2 based on 956,671 user ratings
124;Indiana Jones and the Last Crusade;(1989);8.2;8.2 based on 704,207 user ratings
125;L.A. Confidential;(1997);8.2;8.2 based on 542,067 user ratings
126;Heat;(1995);8.2;8.2 based on 592,342 user ratings
127;Rashomon;(1950);8.2;8.2 based on 156,221 user ratings
128;Yojinbo;(1961);8.2;8.2 based on 114,004 user ratings
129;Ran;(1985);8.2;8.2 based on 115,846 user ratings
130;Die Hard;(1988);8.2;8.2 based on 806,501 user ratings
131;Monty Python and the Holy Grail;(1975);8.2;8.2 based on 508,727 user ratings
132;Green Book;(2018);8.2;8.2 based on 408,206 user ratings
133;Der Untergang;(2004);8.2;8.2 based on 336,884 user ratings
134;Batman Begins;(2005);8.2;8.2 based on 1,336,448 user ratings
135;Some Like It Hot;(1959);8.2;8.2 based on 248,666 user ratings
136;All About Eve;(1950);8.2;8.2 based on 122,937 user ratings
137;Unforgiven;(1992);8.2;8.2 based on 383,556 user ratings
138;Bacheha-Ye aseman;(1997);8.2;8.2 based on 67,763 user ratings
139;Hauru no ugoku shiro;(2004);8.2;8.2 based on 346,828 user ratings
140;The Wolf of Wall Street;(2013);8.2;8.2 based on 1,230,054 user ratings
141;The Great Escape;(1963);8.2;8.2 based on 229,212 user ratings
142;Judgment at Nuremberg;(1961);8.2;8.2 based on 71,467 user ratings
143;Casino;(1995);8.2;8.2 based on 477,805 user ratings
144;The Treasure of the Sierra Madre;(1948);8.2;8.2 based on 116,607 user ratings
145;Pan's Labyrinth;(2006);8.2;8.2 based on 629,114 user ratings
146;There Will Be Blood;(2007);8.1;8.1 based on 531,456 user ratings
147;A Beautiful Mind;(2001);8.1;8.1 based on 867,117 user ratings
148;El secreto de sus ojos;(2009);8.1;8.1 based on 197,483 user ratings
149;Raging Bull;(1980);8.1;8.1 based on 328,215 user ratings
150;Tonari no Totoro;(1988);8.1;8.1 based on 301,907 user ratings
151;Chinatown;(1974);8.1;8.1 based on 301,416 user ratings
152;Lock, Stock and Two Smoking Barrels;(1998);8.1;8.1 based on 545,430 user ratings
153;The Gold Rush;(1925);8.1;8.1 based on 103,556 user ratings
154;Three Billboards Outside Ebbing, Missouri;(2017);8.1;8.1 based on 452,346 user ratings
155;Dial M for Murder;(1954);8.1;8.1 based on 162,155 user ratings
156;No Country for Old Men;(2007);8.1;8.1 based on 880,481 user ratings
157;Shutter Island;(2010);8.1;8.1 based on 1,165,579 user ratings
158;Det sjunde inseglet;(1957);8.1;8.1 based on 169,655 user ratings
159;The Elephant Man;(1980);8.1;8.1 based on 224,805 user ratings
160;The Thing;(1982);8.1;8.1 based on 379,994 user ratings
161;The Sixth Sense;(1999);8.1;8.1 based on 926,646 user ratings
162;Inside Out;(2015);8.1;8.1 based on 636,300 user ratings
163;V for Vendetta;(2005);8.1;8.1 based on 1,051,136 user ratings
164;Klaus;(2019);8.1;8.1 based on 113,781 user ratings
165;The Third Man;(1949);8.1;8.1 based on 161,818 user ratings
166;Blade Runner;(1982);8.1;8.1 based on 707,396 user ratings
167;The Bridge on the River Kwai;(1957);8.1;8.1 based on 207,185 user ratings
168;Smultronstället;(1957);8.1;8.1 based on 99,077 user ratings
169;Trainspotting;(1996);8.1;8.1 based on 644,981 user ratings
170;Babam ve Oglum;(2005);8.1;8.1 based on 81,222 user ratings
171;The Truman Show;(1998);8.1;8.1 based on 966,405 user ratings
172;Jurassic Park;(1993);8.1;8.1 based on 888,341 user ratings
173;Warrior;(2011);8.1;8.1 based on 443,461 user ratings
174;Fargo;(1996);8.1;8.1 based on 631,181 user ratings
175;Salinui chueok;(2003);8.1;8.1 based on 149,610 user ratings
176;Finding Nemo;(2003);8.1;8.1 based on 967,493 user ratings
177;Gone with the Wind;(1939);8.1;8.1 based on 295,298 user ratings
178;Tôkyô monogatari;(1953);8.1;8.1 based on 55,264 user ratings
179;Kill Bill: Vol. 1;(2003);8.1;8.1 based on 1,021,995 user ratings
180;On the Waterfront;(1954);8.1;8.1 based on 144,975 user ratings
181;Stalker;(1979);8.1;8.1 based on 120,829 user ratings
182;The General;(1926);8.1;8.1 based on 83,010 user ratings
183;The Deer Hunter;(1978);8.1;8.1 based on 317,545 user ratings
184;Relatos salvajes;(2014);8.1;8.1 based on 182,721 user ratings
185;Gran Torino;(2008);8.1;8.1 based on 731,579 user ratings
186;Sherlock Jr.;(1924);8.1;8.1 based on 43,854 user ratings
187;Room;(2015);8.1;8.1 based on 383,430 user ratings
188;The Grand Budapest Hotel;(2014);8.1;8.1 based on 729,454 user ratings
189;Before Sunrise;(1995);8.1;8.1 based on 280,055 user ratings
190;Persona;(1966);8.1;8.1 based on 107,004 user ratings
191;Mary and Max;(2009);8.1;8.1 based on 167,520 user ratings
192;In the Name of the Father;(1993);8.1;8.1 based on 162,112 user ratings
193;Prisoners;(2013);8.1;8.1 based on 620,355 user ratings
194;Mr. Smith Goes to Washington;(1939);8.1;8.1 based on 108,996 user ratings
195;Gone Girl;(2014);8.1;8.1 based on 886,159 user ratings
196;Catch Me If You Can;(2002);8.1;8.1 based on 860,320 user ratings
197;To Be or Not to Be;(1942);8.1;8.1 based on 31,838 user ratings
198;Hacksaw Ridge;(2016);8.1;8.1 based on 453,395 user ratings
199;Andhadhun;(2018);8.1;8.1 based on 77,772 user ratings
200;Barry Lyndon;(1975);8.1;8.1 based on 154,006 user ratings
201;The Big Lebowski;(1998);8.1;8.1 based on 748,393 user ratings
202;Ford v Ferrari;(2019);8.1;8.1 based on 317,200 user ratings
203;12 Years a Slave;(2013);8.1;8.1 based on 654,387 user ratings
204;La passion de Jeanne d'Arc;(1928);8.1;8.1 based on 49,312 user ratings
205;How to Train Your Dragon;(2010);8.1;8.1 based on 680,924 user ratings
206;Mad Max: Fury Road;(2015);8.1;8.1 based on 906,477 user ratings
207;Le salaire de la peur;(1953);8.1;8.1 based on 56,120 user ratings
208;Ben-Hur;(1959);8.1;8.1 based on 223,419 user ratings
209;Million Dollar Baby;(2004);8.1;8.1 based on 647,478 user ratings
210;Dead Poets Society;(1989);8.1;8.1 based on 438,917 user ratings
211;Network;(1976);8.1;8.1 based on 147,920 user ratings
212;Stand by Me;(1986);8.1;8.1 based on 371,093 user ratings
213;Harry Potter and the Deathly Hallows: Part 2;(2011);8.1;8.1 based on 785,445 user ratings
214;Höstsonaten;(1978);8.1;8.1 based on 29,127 user ratings
215;Cool Hand Luke;(1967);8.1;8.1 based on 165,260 user ratings
216;Les quatre cents coups;(1959);8.1;8.1 based on 108,367 user ratings
217;Ah-ga-ssi;(2016);8.1;8.1 based on 121,757 user ratings
218;Eskiya;(1996);8.1;8.1 based on 66,090 user ratings
219;Logan;(2017);8.0;8.0 based on 669,261 user ratings
220;Platoon;(1986);8.0;8.0 based on 388,150 user ratings
221;Hachi: A Dog's Tale;(2009);8.0;8.0 based on 260,967 user ratings
222;La haine;(1995);8.0;8.0 based on 155,593 user ratings
223;Life of Brian;(1979);8.0;8.0 based on 374,120 user ratings
224;Spotlight;(2015);8.0;8.0 based on 432,424 user ratings
225;Hotel Rwanda;(2004);8.0;8.0 based on 339,176 user ratings
226;Into the Wild;(2007);8.0;8.0 based on 585,368 user ratings
227;Rush;(2013);8.0;8.0 based on 444,105 user ratings
228;Rebecca;(1940);8.0;8.0 based on 126,812 user ratings
229;Andrei Rublev;(1966);8.0;8.0 based on 48,769 user ratings
230;Monsters, Inc.;(2001);8.0;8.0 based on 833,046 user ratings
231;Drishyam 2;(2021);8.0;8.0 based on 26,787 user ratings
232;Amores perros;(2000);8.0;8.0 based on 227,460 user ratings
233;Ratsasan;(2018);8.0;8.0 based on 30,916 user ratings
234;Rocky;(1976);8.0;8.0 based on 529,952 user ratings
235;Gangs of Wasseypur;(2012);8.0;8.0 based on 86,264 user ratings
236;Koe no katachi;(2016);8.0;8.0 based on 55,854 user ratings
237;Fa yeung nin wah;(2000);8.0;8.0 based on 130,882 user ratings
238;It Happened One Night;(1934);8.0;8.0 based on 96,295 user ratings
239;Kaze no tani no Naushika;(1984);8.0;8.0 based on 155,612 user ratings
240;La battaglia di Algeri;(1966);8.0;8.0 based on 54,775 user ratings
241;Before Sunset;(2004);8.0;8.0 based on 242,553 user ratings
242;Du rififi chez les hommes;(1955);8.0;8.0 based on 30,725 user ratings
243;Soul;(2020);8.0;8.0 based on 250,301 user ratings
244;The Princess Bride;(1987);8.0;8.0 based on 399,927 user ratings
245;Trois couleurs: Rouge;(1994);8.0;8.0 based on 93,689 user ratings
246;Fanny och Alexander;(1982);8.0;8.0 based on 58,865 user ratings
247;Sunrise: A Song of Two Humans;(1927);8.0;8.0 based on 47,771 user ratings
248;Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni;(1997);8.0;8.0 based on 42,298 user ratings
249;Drishyam;(2013);8.0;8.0 based on 36,236 user ratings
250;Miracle in Cell No. 7;(2019);8.0;8.0 based on 39,648 user ratings
